symptom1,symptom2,symptom3,symptom4,symptom5,symptom6,symptom7,symptom8,disease
fever,rash,joint pain,abdominal pain,chest pain,lymphadenopathy,fatigue,headache,Familial Mediterranean Fever
fatigue,joint pain,skin thickening,raynaud phenomenon,difficulty swallowing,heartburn,shortness of breath,digital ulcers,Systemic Sclerosis
cough,shortness of breath,recurrent infections,thick mucus,poor weight gain,salty sweat,digestive problems,nasal polyps,Cystic Fibrosis
hyperextensible skin,easy bruising,joint hypermobility,delayed wound healing,mitral valve prolapse,aortic root dilatation,chronic pain,fragile blood vessels,Ehlers-Danlos Syndrome
tall stature,lens dislocation,aortic enlargement,joint hypermobility,high arched palate,pectus deformity,myopia,striae,Marfan Syndrome
intellectual disability,hyperactivity,large ears,long face,autism spectrum behaviors,seizures,anxiety,sleep problems,Fragile X Syndrome
muscle weakness,waddling gait,difficulty rising,calf pseudohypertrophy,progressive muscle loss,respiratory problems,cardiomyopathy,learning difficulties,Duchenne Muscular Dystrophy
retinal abnormalities,hearing loss,kidney problems,blood in urine,proteinuria,eye pain,corneal erosions,family history,Alport Syndrome
anemia,bone pain,frequent infections,fatigue,shortness of breath,delayed growth,jaundice,stroke episodes,Sickle Cell Disease
delayed motor development,muscle weakness,elevated liver enzymes,respiratory problems,cardiomyopathy,feeding difficulties,large tongue,hearing loss,Pompe Disease
corneal clouding,skeletal abnormalities,heart valve problems,coarse facial features,short stature,developmental delay,joint stiffness,hepatosplenomegaly,Hunter Syndrome
absent sweat glands,sparse hair,missing teeth,dry skin,heat intolerance,nail abnormalities,cleft palate,immune deficiency,Ectodermal Dysplasia
short stature,broad chest,short limbs,large head,trident hands,spinal stenosis,sleep apnea,joint problems,Achondroplasia
delayed development,seizures,autistic features,happy demeanor,ataxia,sleep disturbances,feeding problems,speech impairment,Angelman Syndrome
hypotonia,feeding problems,almond-shaped eyes,obesity,short stature,behavioral problems,temperature instability,scoliosis,Prader-Willi Syndrome
butterfly rash,photosensitivity,joint pain,kidney problems,seizures,hair loss,mouth ulcers,raynaud phenomenon,Lupus (SLE)
polyuria,polydipsia,vision changes,family history diabetes,gradual onset,normal weight,ketosis resistance,hypertension,Maturity Onset Diabetes of the Young
